date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:14	29742/29742	---M--	200	added ('OK')	image/jpeg	etag:%22742e-57c36751e9d04%22	https://misp.iiita.ac.in/img/epi.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/epi.jpg	(from https://misp.iiita.ac.in/)
22:25:15	2152/2152	---M--	200	added ('OK')	image/jpeg	etag:%22868-57c367541829c%22	https://misp.iiita.ac.in/img/sleep.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/sleep.jpg	(from https://misp.iiita.ac.in/)
22:25:16	6599/6599	---M--	200	added ('OK')	image/jpeg	etag:%2219c7-591ccc691392f%22	https://misp.iiita.ac.in/img/Prof.PNagabhushan.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/Prof.PNagabhushan.jpg	(from https://misp.iiita.ac.in/)
22:25:17	5841/5841	---M--	200	added ('OK')	image/jpeg	etag:%2216d1-591ccc693b5e7%22	https://misp.iiita.ac.in/img/Prof.%20Ponnuthurai%20Nagaratnam%20Suganthan.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/Prof.%20Ponnuthurai%20Nagaratnam%20Suganthan.jpg	(from https://misp.iiita.ac.in/)
22:25:18	8566/8566	---M--	200	added ('OK')	image/jpeg	etag:%222176-591ccc6918367%22	https://misp.iiita.ac.in/img/ust.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/ust.jpg	(from https://misp.iiita.ac.in/)
22:25:19	4330/4330	---M--	200	added ('OK')	image/jpeg	etag:%2210ea-591ccc6eabb3f%22	https://misp.iiita.ac.in/img/shekharsir.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/shekharsir.jpg	(from https://misp.iiita.ac.in/)
22:25:20	10589/10589	---M--	200	added ('OK')	image/jpeg	etag:%22295d-57c3675348664%22	https://misp.iiita.ac.in/img/image_joshi_2.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/image_joshi_2.jpg	(from https://misp.iiita.ac.in/)
22:25:21	13072/13072	---M--	200	added ('OK')	image/jpeg	etag:%223310-57c3675331734%22	https://misp.iiita.ac.in/img/imageRB_2.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/imageRB_2.jpg	(from https://misp.iiita.ac.in/)
22:25:22	13366/13366	---M--	200	added ('OK')	image/jpeg	etag:%223436-57c3675354d9c%22	https://misp.iiita.ac.in/img/image_lalit_2.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/image_lalit_2.jpg	(from https://misp.iiita.ac.in/)
22:25:24	124267/124267	---M--	200	added ('OK')	image/jpeg	etag:%221e56b-591ccc6933ccf%22	https://misp.iiita.ac.in/img/Partha%20Pratim%20Roy.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/Partha%20Pratim%20Roy.jpg	(from https://misp.iiita.ac.in/)
22:25:24	8684/8684	---M--	200	added ('OK')	image/jpeg	etag:%2221ec-57c367536767c%22	https://misp.iiita.ac.in/img/image_tanveer_2.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/image_tanveer_2.jpg	(from https://misp.iiita.ac.in/)
22:25:25	30246/30246	---M--	200	added ('OK')	image/jpeg	etag:%227626-591ccc692e2f7%22	https://misp.iiita.ac.in/img/kpandian.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/kpandian.jpg	(from https://misp.iiita.ac.in/)
22:25:26	4928/4928	---M--	200	added ('OK')	image/jpeg	etag:%221340-591ccc693737f%22	https://misp.iiita.ac.in/img/pavan.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/pavan.jpg	(from https://misp.iiita.ac.in/)
22:25:28	168883/168883	---M--	200	added ('OK')	image/jpeg	etag:%22293b3-591ccc692ac47%22	https://misp.iiita.ac.in/img/piyush.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/piyush.jpg	(from https://misp.iiita.ac.in/)
22:25:29	73905/73905	---M--	200	added ('OK')	image/png	etag:%22120b1-57c367510b284%22	https://misp.iiita.ac.in/img/csir.png	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/csir.png	(from https://misp.iiita.ac.in/)
22:25:30	112163/112163	---M--	200	added ('OK')	image/jpeg	etag:%221b623-57c367521c1b4%22	https://misp.iiita.ac.in/img/dsp.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/dsp.jpg	(from https://misp.iiita.ac.in/)
22:25:31	20378/20378	---M--	200	added ('OK')	image/png	etag:%224f9a-58cd4f4eef8cc%22	https://misp.iiita.ac.in/img/insa.png	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/insa.png	(from https://misp.iiita.ac.in/)
22:25:32	103299/103299	---M--	200	added ('OK')	image/jpeg	etag:%2219383-591b3e3d33dc6%22	https://misp.iiita.ac.in/img/upcst.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/upcst.jpg	(from https://misp.iiita.ac.in/)
